strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
g_inside_bar_breakout,SHORT,2023-06-09 16:35:00+00:00,14527.25,14534.5,14512.75,2023-06-09 16:36:00+00:00,14512.75,target,29.0,58,1.0,2023,11,"IB_break SHORT ib=[14516.25,14534.25]"
a_asian_continuation,LONG,2023-06-12 08:25:00+00:00,14803.5,14800.0,14810.5,2023-06-12 08:29:00+00:00,14810.5,target,14.0,28,4.0,2023,3,"ON_break LONG close5=14813.50 on=[14732.25,14809.50]"
e_multi_day_breakout,LONG,2023-06-12 13:49:00+00:00,14799.0,14791.5,14814.0,2023-06-12 13:50:00+00:00,14791.5,stop,-15.0,-30,1.0,2023,8,3d_break LONG 3dH=14688.00 3dL=14305.50
g_inside_bar_breakout,LONG,2023-06-12 17:00:00+00:00,14856.0,14848.5,14871.0,2023-06-12 17:43:00+00:00,14871.0,target,30.0,60,43.0,2023,12,"IB_break LONG ib=[14848.75,14854.75]"
g_inside_bar_breakout,LONG,2023-06-12 17:55:00+00:00,14880.25,14875.75,14889.25,2023-06-12 17:57:00+00:00,14889.25,target,18.0,36,2.0,2023,12,"IB_break LONG ib=[14876.00,14883.00]"
g_inside_bar_breakout,LONG,2023-06-12 18:45:00+00:00,14899.0,14893.25,14910.5,2023-06-12 18:48:00+00:00,14910.5,target,23.0,46,3.0,2023,13,"IB_break LONG ib=[14893.50,14901.75]"
e_multi_day_breakout,LONG,2023-06-13 13:50:00+00:00,15022.5,15016.5,15034.5,2023-06-13 13:51:00+00:00,15034.5,target,24.0,48,1.0,2023,8,3d_break LONG 3dH=14990.75 3dL=14328.00
e_multi_day_breakout,LONG,2023-06-14 14:12:00+00:00,15137.75,15132.5,15148.25,2023-06-14 14:15:00+00:00,15148.25,target,21.0,42,3.0,2023,9,3d_break LONG 3dH=15130.00 3dL=14496.00
g_inside_bar_breakout,SHORT,2023-06-14 16:45:00+00:00,15169.25,15176.0,15155.75,2023-06-14 16:52:00+00:00,15176.0,stop,-13.5,-27,7.0,2023,11,"IB_break SHORT ib=[15166.75,15175.75]"
g_inside_bar_breakout,SHORT,2023-06-14 17:40:00+00:00,15139.5,15145.5,15127.5,2023-06-14 17:44:00+00:00,15127.5,target,24.0,48,4.0,2023,12,"IB_break SHORT ib=[15130.50,15145.25]"
a_asian_continuation,SHORT,2023-06-15 08:40:00+00:00,15146.5,15150.0,15139.5,2023-06-15 08:42:00+00:00,15139.5,target,14.0,28,2.0,2023,3,"ON_break SHORT close5=15127.00 on=[15144.75,15229.00]"
e_multi_day_breakout,LONG,2023-06-15 14:05:00+00:00,15215.75,15208.75,15229.75,2023-06-15 14:06:00+00:00,15229.75,target,28.0,56,1.0,2023,9,3d_break LONG 3dH=15215.75 3dL=14764.00
g_inside_bar_breakout,SHORT,2023-06-15 16:30:00+00:00,15304.75,15307.5,15299.25,2023-06-15 16:31:00+00:00,15299.25,target,11.0,22,1.0,2023,11,"IB_break SHORT ib=[15295.25,15307.25]"
g_inside_bar_breakout,LONG,2023-06-15 16:55:00+00:00,15286.0,15284.5,15289.0,2023-06-15 16:56:00+00:00,15289.0,target,6.0,12,1.0,2023,11,"IB_break LONG ib=[15284.75,15299.00]"
a_asian_continuation,LONG,2023-06-16 08:25:00+00:00,15384.25,15380.75,15391.25,2023-06-16 08:26:00+00:00,15391.25,target,14.0,28,1.0,2023,3,"ON_break LONG close5=15390.75 on=[15315.00,15384.75]"
