strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
raschke_loose_trend,LONG,2022-07-07 17:30:00+00:00,12093.0,12085.75,12107.5,2022-07-07 17:44:00+00:00,12107.5,target,29.0,58,14.0,2022,12,raschke LONG pb=12095.25 ema=12086.74
raschke_1.5r_target,LONG,2022-07-07 17:30:00+00:00,12093.0,12085.75,12103.875,2022-07-07 17:42:00+00:00,12103.875,target,22.0,44,12.0,2022,12,raschke LONG pb=12095.25 ema=12086.74
raschke_3r_target,LONG,2022-07-07 17:30:00+00:00,12093.0,12085.75,12114.75,2022-07-07 17:45:00+00:00,12114.75,target,43.5,87,15.0,2022,12,raschke LONG pb=12095.25 ema=12086.74
raschke_long_only,LONG,2022-07-07 17:30:00+00:00,12093.0,12085.75,12107.5,2022-07-07 17:44:00+00:00,12107.5,target,29.0,58,14.0,2022,12,raschke LONG pb=12095.25 ema=12086.74
raschke_ema9_ref,LONG,2022-07-07 18:20:00+00:00,12134.25,12125.5,12151.75,2022-07-07 18:36:00+00:00,12125.5,stop,-17.5,-35,16.0,2022,13,raschke LONG pb=12137.50 ema=12127.04
raschke_ema9_ref,LONG,2022-07-07 19:00:00+00:00,12131.5,12125.25,12144.0,2022-07-07 19:05:00+00:00,12144.0,target,25.0,50,5.0,2022,14,raschke LONG pb=12136.00 ema=12131.63
raschke_baseline,LONG,2022-07-08 19:40:00+00:00,12151.75,12146.5,12162.25,2022-07-08 19:43:00+00:00,12162.25,target,21.0,42,3.0,2022,14,raschke LONG pb=12160.50 ema=12155.18
raschke_strict_trend,LONG,2022-07-08 19:40:00+00:00,12151.75,12146.5,12162.25,2022-07-08 19:43:00+00:00,12162.25,target,21.0,42,3.0,2022,14,raschke LONG pb=12160.50 ema=12155.18
raschke_loose_trend,LONG,2022-07-08 19:40:00+00:00,12151.75,12146.5,12162.25,2022-07-08 19:43:00+00:00,12162.25,target,21.0,42,3.0,2022,14,raschke LONG pb=12160.50 ema=12155.18
raschke_1.5r_target,LONG,2022-07-08 19:40:00+00:00,12151.75,12146.5,12159.625,2022-07-08 19:43:00+00:00,12159.625,target,16.0,32,3.0,2022,14,raschke LONG pb=12160.50 ema=12155.18
raschke_3r_target,LONG,2022-07-08 19:40:00+00:00,12151.75,12146.5,12167.5,2022-07-08 19:43:00+00:00,12167.5,target,31.5,63,3.0,2022,14,raschke LONG pb=12160.50 ema=12155.18
raschke_long_only,LONG,2022-07-08 19:40:00+00:00,12151.75,12146.5,12162.25,2022-07-08 19:43:00+00:00,12162.25,target,21.0,42,3.0,2022,14,raschke LONG pb=12160.50 ema=12155.18
raschke_baseline,SHORT,2022-07-11 15:30:00+00:00,11935.0,11942.25,11920.5,2022-07-11 15:31:00+00:00,11942.25,stop,-14.5,-29,1.0,2022,10,raschke SHORT pb=11920.25 ema=11936.96
raschke_strict_trend,SHORT,2022-07-11 15:30:00+00:00,11935.0,11942.25,11920.5,2022-07-11 15:31:00+00:00,11942.25,stop,-14.5,-29,1.0,2022,10,raschke SHORT pb=11920.25 ema=11936.96
raschke_loose_trend,SHORT,2022-07-11 15:30:00+00:00,11935.0,11942.25,11920.5,2022-07-11 15:31:00+00:00,11942.25,stop,-14.5,-29,1.0,2022,10,raschke SHORT pb=11920.25 ema=11936.96
raschke_1.5r_target,SHORT,2022-07-11 15:30:00+00:00,11935.0,11942.25,11924.125,2022-07-11 15:31:00+00:00,11942.25,stop,-14.5,-29,1.0,2022,10,raschke SHORT pb=11920.25 ema=11936.96
raschke_3r_target,SHORT,2022-07-11 15:30:00+00:00,11935.0,11942.25,11913.25,2022-07-11 15:31:00+00:00,11942.25,stop,-14.5,-29,1.0,2022,10,raschke SHORT pb=11920.25 ema=11936.96
raschke_short_only,SHORT,2022-07-11 15:30:00+00:00,11935.0,11942.25,11920.5,2022-07-11 15:31:00+00:00,11942.25,stop,-14.5,-29,1.0,2022,10,raschke SHORT pb=11920.25 ema=11936.96
raschke_ema9_ref,SHORT,2022-07-11 18:55:00+00:00,11925.75,11935.25,11906.75,2022-07-11 18:59:00+00:00,11906.75,target,38.0,76,4.0,2022,13,raschke SHORT pb=11915.50 ema=11935.36
raschke_ema9_ref,LONG,2022-07-14 18:15:00+00:00,11736.5,11731.75,11746.0,2022-07-14 18:16:00+00:00,11746.0,target,19.0,38,1.0,2022,13,raschke LONG pb=11747.00 ema=11735.00
raschke_ema9_ref,LONG,2022-07-14 18:55:00+00:00,11795.0,11788.5,11808.0,2022-07-14 18:57:00+00:00,11808.0,target,26.0,52,2.0,2022,13,raschke LONG pb=11802.00 ema=11790.24
raschke_baseline,LONG,2022-07-14 19:50:00+00:00,11789.25,11779.75,11808.25,2022-07-14 19:57:00+00:00,11808.25,target,38.0,76,7.0,2022,14,raschke LONG pb=11796.25 ema=11783.24
raschke_strict_trend,LONG,2022-07-14 19:50:00+00:00,11789.25,11779.75,11808.25,2022-07-14 19:57:00+00:00,11808.25,target,38.0,76,7.0,2022,14,raschke LONG pb=11796.25 ema=11783.24
raschke_loose_trend,LONG,2022-07-14 19:50:00+00:00,11789.25,11779.75,11808.25,2022-07-14 19:57:00+00:00,11808.25,target,38.0,76,7.0,2022,14,raschke LONG pb=11796.25 ema=11783.24
raschke_1.5r_target,LONG,2022-07-14 19:50:00+00:00,11789.25,11779.75,11803.5,2022-07-14 19:54:00+00:00,11803.5,target,28.5,57,4.0,2022,14,raschke LONG pb=11796.25 ema=11783.24
raschke_3r_target,LONG,2022-07-14 19:50:00+00:00,11789.25,11779.75,11817.75,2022-07-14 20:05:00+00:00,11817.75,target,57.0,114,15.0,2022,14,raschke LONG pb=11796.25 ema=11783.24
raschke_long_only,LONG,2022-07-14 19:50:00+00:00,11789.25,11779.75,11808.25,2022-07-14 19:57:00+00:00,11808.25,target,38.0,76,7.0,2022,14,raschke LONG pb=11796.25 ema=11783.24
raschke_baseline,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11978.25,2022-07-15 17:30:00+00:00,11978.25,target,32.0,64,5.0,2022,12,raschke LONG pb=11966.50 ema=11957.40
raschke_strict_trend,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11978.25,2022-07-15 17:30:00+00:00,11978.25,target,32.0,64,5.0,2022,12,raschke LONG pb=11966.50 ema=11957.40
raschke_loose_trend,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11978.25,2022-07-15 17:30:00+00:00,11978.25,target,32.0,64,5.0,2022,12,raschke LONG pb=11966.50 ema=11957.40
raschke_ema9_ref,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11978.25,2022-07-15 17:30:00+00:00,11978.25,target,32.0,64,5.0,2022,12,raschke LONG pb=11966.50 ema=11962.01
raschke_1.5r_target,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11974.25,2022-07-15 17:29:00+00:00,11974.25,target,24.0,48,4.0,2022,12,raschke LONG pb=11966.50 ema=11957.40
raschke_3r_target,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11986.25,2022-07-15 17:39:00+00:00,11986.25,target,48.0,96,14.0,2022,12,raschke LONG pb=11966.50 ema=11957.40
raschke_long_only,LONG,2022-07-15 17:25:00+00:00,11962.25,11954.25,11978.25,2022-07-15 17:30:00+00:00,11978.25,target,32.0,64,5.0,2022,12,raschke LONG pb=11966.50 ema=11957.40
raschke_baseline,LONG,2022-07-15 18:10:00+00:00,11970.5,11961.25,11989.0,2022-07-15 18:20:00+00:00,11961.25,stop,-18.5,-37,10.0,2022,13,raschke LONG pb=11971.50 ema=11967.53
raschke_strict_trend,LONG,2022-07-15 18:10:00+00:00,11970.5,11961.25,11989.0,2022-07-15 18:20:00+00:00,11961.25,stop,-18.5,-37,10.0,2022,13,raschke LONG pb=11971.50 ema=11967.53
raschke_loose_trend,LONG,2022-07-15 18:10:00+00:00,11970.5,11961.25,11989.0,2022-07-15 18:20:00+00:00,11961.25,stop,-18.5,-37,10.0,2022,13,raschke LONG pb=11971.50 ema=11967.53
raschke_1.5r_target,LONG,2022-07-15 18:10:00+00:00,11970.5,11961.25,11984.375,2022-07-15 18:20:00+00:00,11961.25,stop,-18.5,-37,10.0,2022,13,raschke LONG pb=11971.50 ema=11967.53
raschke_3r_target,LONG,2022-07-15 18:10:00+00:00,11970.5,11961.25,11998.25,2022-07-15 18:20:00+00:00,11961.25,stop,-18.5,-37,10.0,2022,13,raschke LONG pb=11971.50 ema=11967.53
raschke_long_only,LONG,2022-07-15 18:10:00+00:00,11970.5,11961.25,11989.0,2022-07-15 18:20:00+00:00,11961.25,stop,-18.5,-37,10.0,2022,13,raschke LONG pb=11971.50 ema=11967.53
raschke_baseline,LONG,2022-07-15 18:40:00+00:00,11974.0,11970.25,11981.5,2022-07-15 18:42:00+00:00,11981.5,target,15.0,30,2.0,2022,13,raschke LONG pb=11977.25 ema=11971.27
raschke_strict_trend,LONG,2022-07-15 18:40:00+00:00,11974.0,11970.25,11981.5,2022-07-15 18:42:00+00:00,11981.5,target,15.0,30,2.0,2022,13,raschke LONG pb=11977.25 ema=11971.27
