strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year
bias_momentum,SHORT,2026-05-12 14:43:00+00:00,29104.5,29119.5,29067.0,2026-05-12 14:45:00+00:00,29067.0,target,75.0,150,2.0,2026
bias_momentum,SHORT,2026-05-12 14:45:00+00:00,29070.0,29085.0,29032.5,2026-05-12 14:50:00+00:00,29032.5,target,75.0,150,5.0,2026
bias_momentum,SHORT,2026-05-12 14:55:00+00:00,29054.25,29069.25,29016.75,2026-05-12 14:57:00+00:00,29016.75,target,75.0,150,2.0,2026
bias_momentum,SHORT,2026-05-12 14:57:00+00:00,29025.0,29040.0,28987.5,2026-05-12 15:02:00+00:00,28987.5,target,75.0,150,5.0,2026
noise_area,SHORT,2026-05-12 15:00:00+00:00,29007.25,29294.25,29007.25,2026-05-12 15:01:00+00:00,29007.25,target,0.0,0,1.0,2026
noise_area,SHORT,2026-05-12 15:30:00+00:00,28872.75,29310.75,28872.75,2026-05-12 15:31:00+00:00,28872.75,target,0.0,0,1.0,2026
bias_momentum,SHORT,2026-05-12 15:43:00+00:00,28934.75,28945.75,28907.25,2026-05-12 15:48:00+00:00,28907.25,target,55.0,110,5.0,2026
noise_area,SHORT,2026-05-12 16:00:00+00:00,28837.0,29308.0,28837.0,2026-05-12 16:01:00+00:00,28837.0,target,0.0,0,1.0,2026
bias_momentum,SHORT,2026-05-12 16:05:00+00:00,28882.25,28897.0,28845.375,2026-05-12 16:13:00+00:00,28897.0,stop,-29.5,-59,8.0,2026
bias_momentum,SHORT,2026-05-12 16:15:00+00:00,28889.5,28904.5,28852.0,2026-05-12 16:21:00+00:00,28852.0,target,75.0,150,6.0,2026
noise_area,SHORT,2026-05-12 16:30:00+00:00,28829.75,29305.75,28829.75,2026-05-12 16:31:00+00:00,28829.75,target,0.0,0,1.0,2026
noise_area,SHORT,2026-05-12 17:00:00+00:00,28772.5,29302.5,28772.5,2026-05-12 17:01:00+00:00,28772.5,target,0.0,0,1.0,2026
noise_area,SHORT,2026-05-12 17:30:00+00:00,28899.75,29314.25,28899.75,2026-05-12 17:31:00+00:00,28899.75,target,0.0,0,1.0,2026
spring_setup,LONG,2026-05-12 17:38:00+00:00,28886.0,28836.0,28961.0,2026-05-12 18:15:00+00:00,28961.0,target,150.0,300,37.0,2026
noise_area,SHORT,2026-05-12 18:00:00+00:00,28921.5,29314.5,28921.5,2026-05-12 18:01:00+00:00,28921.5,target,0.0,0,1.0,2026
noise_area,SHORT,2026-05-12 18:30:00+00:00,28999.25,29311.75,28999.25,2026-05-12 18:31:00+00:00,28999.25,target,0.0,0,1.0,2026
noise_area,SHORT,2026-05-12 19:00:00+00:00,28974.5,29315.5,28974.5,2026-05-12 19:01:00+00:00,28974.5,target,0.0,0,1.0,2026
spring_setup,LONG,2026-05-12 19:31:00+00:00,29077.0,29030.75,29146.375,2026-05-12 19:50:00+00:00,29146.375,target,139.0,278,19.0,2026
spring_setup,LONG,2026-05-12 19:52:00+00:00,29174.5,29124.5,29249.5,2026-05-12 20:05:00+00:00,29124.5,stop,-100.0,-200,13.0,2026
spring_setup,LONG,2026-05-12 20:09:00+00:00,29117.25,29067.25,29192.25,2026-05-13 00:02:00+00:00,29067.25,stop,-100.0,-200,233.0,2026
bias_momentum,LONG,2026-05-12 20:09:00+00:00,29117.25,29103.25,29152.25,2026-05-12 20:11:00+00:00,29103.25,stop,-28.0,-56,2.0,2026
bias_momentum,LONG,2026-05-12 20:11:00+00:00,29103.0,29101.0,29108.0,2026-05-12 20:12:00+00:00,29108.0,target,10.0,20,1.0,2026
bias_momentum,LONG,2026-05-12 20:12:00+00:00,29112.75,29101.0,29142.125,2026-05-12 20:53:00+00:00,29142.125,target,59.0,118,41.0,2026
bias_momentum,LONG,2026-05-12 20:53:00+00:00,29142.75,29132.75,29167.75,2026-05-12 22:02:00+00:00,29167.75,target,50.0,100,69.0,2026
