strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,mae_ticks,mfe_ticks,regime,tod_bucket
a_asian_continuation,LONG,2022-05-24 11:05:00+00:00,11839.75,11836.25,11846.75,2022-05-24 11:07:00+00:00,11846.75,target,9.18,28,2.0,2022,11.0,29.0,MEAN_REVERT_CHOP,Globex Overnight
a_asian_continuation,SHORT,2022-05-25 08:05:00+00:00,11799.5,11803.0,11792.5,2022-05-25 08:06:00+00:00,11792.5,target,9.18,28,1.0,2022,0.0,38.0,MEAN_REVERT_CHOP,Globex Overnight
g_inside_bar_breakout,SHORT,2022-05-25 13:45:00+00:00,11832.5,11838.75,11820.0,2022-05-25 13:46:00+00:00,11838.75,stop,-17.32,-25,1.0,2022,26.0,83.0,MEAN_REVERT_CHOP,Opening Drive
a_asian_continuation,LONG,2022-05-26 11:20:00+00:00,11983.75,11980.25,11990.75,2022-05-26 11:21:00+00:00,11990.75,target,9.18,28,1.0,2022,0.0,77.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,LONG,2022-05-26 14:29:00+00:00,12157.25,12155.25,12161.25,2022-05-26 14:30:00+00:00,12155.25,stop,-8.82,-8,1.0,2022,41.0,33.0,LOW_VOL_TREND,Opening Drive
a_asian_continuation,LONG,2022-05-27 08:20:00+00:00,12287.5,12284.0,12294.5,2022-05-27 08:23:00+00:00,12294.5,target,9.18,28,3.0,2022,12.0,43.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,LONG,2022-05-27 14:16:00+00:00,12558.0,12550.75,12572.5,2022-05-27 14:22:00+00:00,12572.5,target,24.18,58,6.0,2022,27.0,85.0,MEAN_REVERT_CHOP,Opening Drive
raschke_baseline,LONG,2022-05-27 18:15:00+00:00,12589.75,12581.25,12606.75,2022-05-27 18:35:00+00:00,12606.75,target,29.18,68,20.0,2022,7.0,77.0,MEAN_REVERT_CHOP,Other RTH
e_multi_day_breakout,LONG,2022-05-30 13:45:00+00:00,12761.25,12756.5,12770.75,2022-05-30 13:48:00+00:00,12770.75,target,14.18,38,3.0,2022,12.0,42.0,MEAN_REVERT_CHOP,Opening Drive
g_inside_bar_breakout,LONG,2022-05-30 15:10:00+00:00,12784.25,12781.25,12790.25,2022-05-30 15:14:00+00:00,12790.25,target,7.18,24,4.0,2022,1.0,24.0,MEAN_REVERT_CHOP,Other RTH
g_inside_bar_breakout,SHORT,2022-05-30 16:00:00+00:00,12800.75,12806.0,12790.25,2022-05-30 16:02:00+00:00,12790.25,target,16.18,42,2.0,2022,5.0,42.0,MEAN_REVERT_CHOP,Mid-Day Lull
g_inside_bar_breakout,SHORT,2022-05-30 16:45:00+00:00,12824.5,12826.75,12820.0,2022-05-30 16:46:00+00:00,12826.75,stop,-9.32,-9,1.0,2022,14.0,1.0,MEAN_REVERT_CHOP,Mid-Day Lull
g_inside_bar_breakout,SHORT,2022-05-31 18:20:00+00:00,12762.25,12764.5,12757.75,2022-05-31 18:21:00+00:00,12757.75,target,4.18,18,1.0,2022,4.0,96.0,LOW_VOL_TREND,Other RTH
a_asian_continuation,LONG,2022-06-01 11:55:00+00:00,12664.75,12661.25,12671.75,2022-06-01 11:57:00+00:00,12671.75,target,9.18,28,2.0,2022,5.0,43.0,LOW_VOL_TREND,Globex Overnight
g_inside_bar_breakout,LONG,2022-06-02 16:50:00+00:00,12775.0,12770.5,12784.0,2022-06-02 16:52:00+00:00,12784.0,target,13.18,36,2.0,2022,0.0,64.0,LOW_VOL_TREND,Mid-Day Lull
a_asian_continuation,SHORT,2022-06-03 10:35:00+00:00,12817.5,12821.0,12810.5,2022-06-03 10:37:00+00:00,12810.5,target,9.18,28,2.0,2022,0.0,47.0,LOW_VOL_TREND,Globex Overnight
raschke_baseline,SHORT,2022-06-03 19:40:00+00:00,12557.25,12566.75,12538.25,2022-06-03 19:44:00+00:00,12538.25,target,33.18,76,4.0,2022,6.0,113.0,LOW_VOL_TREND,Power Hour
a_asian_continuation,LONG,2022-06-07 08:35:00+00:00,12548.75,12545.25,12555.75,2022-06-07 08:37:00+00:00,12555.75,target,9.18,28,2.0,2022,4.0,40.0,MEAN_REVERT_CHOP,Globex Overnight
a_asian_continuation,LONG,2022-06-08 11:30:00+00:00,12706.0,12702.5,12713.0,2022-06-08 11:32:00+00:00,12713.0,target,9.18,28,2.0,2022,5.0,48.0,MEAN_REVERT_CHOP,Globex Overnight
a_asian_continuation,LONG,2022-06-09 08:45:00+00:00,12631.75,12628.25,12638.75,2022-06-09 08:47:00+00:00,12638.75,target,9.18,28,2.0,2022,1.0,81.0,MEAN_REVERT_CHOP,Globex Overnight
g_inside_bar_breakout,LONG,2022-06-09 16:40:00+00:00,12564.5,12559.25,12575.0,2022-06-09 16:42:00+00:00,12575.0,target,16.18,42,2.0,2022,13.0,52.0,MEAN_REVERT_CHOP,Mid-Day Lull
g_inside_bar_breakout,SHORT,2022-06-09 16:50:00+00:00,12578.0,12584.75,12564.5,2022-06-09 16:51:00+00:00,12584.75,stop,-18.32,-27,1.0,2022,49.0,4.0,MEAN_REVERT_CHOP,Mid-Day Lull
a_asian_continuation,SHORT,2022-06-10 12:30:00+00:00,12120.75,12124.25,12113.75,2022-06-10 12:31:00+00:00,12124.25,stop,-11.82,-14,1.0,2022,245.0,37.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,SHORT,2022-06-10 14:06:00+00:00,11917.75,11920.5,11912.25,2022-06-10 14:07:00+00:00,11912.25,target,6.18,22,1.0,2022,0.0,66.0,MEAN_REVERT_CHOP,Opening Drive
g_inside_bar_breakout,LONG,2022-06-10 15:15:00+00:00,11844.5,11839.75,11854.0,2022-06-10 15:16:00+00:00,11839.75,stop,-14.32,-19,1.0,2022,34.0,35.0,MEAN_REVERT_CHOP,Other RTH
