strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
spring_setup,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.8855,4535,0.8907,1050,-4177.5,1.0058,False
bias_momentum,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 1.5, ""target_rr"": 2.5}",1.3491,5886,1.3088,1822,13521.46,0.9701,False
ib_breakout,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 4.0, ""target_extension"": 1.5}",0.955,20,0.4731,3,-66.46,0.4954,True
vwap_band_reversion,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.9573,465,0.767,96,-998.72,0.8012,False
compression_breakout_micro,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.4568,33,0.3722,18,-136.76,0.8147,False
vwap_pullback_v2,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.9486,1066,0.8658,253,-1127.96,0.9128,False
big_move_signal,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.0,1,0.0,1,-34.82,0.0,False
orb_fade,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.5831,165,1.3421,54,318.72,2.3017,False
spring_setup,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,{},0.8731,4801,0.8387,1226,-8143.82,0.9607,False
