entry_ts,entry_price,stop_price,target_price,direction,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,category
2026-06-01T09:36:00+00:00,30421.75,30424.0,30418.375,SHORT,2026-06-01 09:37:00+00:00,30424.0,stop,-2.25,-9.0,baseline_random
2026-05-28T09:04:00+00:00,29992.75,29990.5,29996.125,LONG,2026-05-28 09:05:00+00:00,29990.5,stop,-2.25,-9.0,baseline_random
2026-05-27T23:15:00+00:00,29791.25,29793.5,29787.875,SHORT,2026-05-27 23:17:00+00:00,29793.5,stop,-2.25,-9.0,baseline_random
2026-06-01T07:46:00+00:00,30477.5,30475.25,30480.875,LONG,2026-06-01 07:47:00+00:00,30480.875,target,3.375,13.5,baseline_random
2026-06-01T06:11:00+00:00,30463.0,30465.25,30459.625,SHORT,2026-06-01 06:15:00+00:00,30465.25,stop,-2.25,-9.0,baseline_random
2026-06-04T09:57:00+00:00,30344.5,30346.75,30341.125,SHORT,2026-06-04 09:58:00+00:00,30346.75,stop,-2.25,-9.0,baseline_random
2026-05-28T12:02:00+00:00,30326.5,30324.25,30329.875,LONG,2026-05-28 12:03:00+00:00,30329.875,target,3.375,13.5,baseline_random
2026-05-28T10:12:00+00:00,30224.0,30221.75,30227.375,LONG,2026-05-28 10:13:00+00:00,30221.75,stop,-2.25,-9.0,baseline_random
2026-06-02T04:42:00+00:00,30580.25,30578.0,30583.625,LONG,2026-06-02 04:45:00+00:00,30578.0,stop,-2.25,-9.0,baseline_random
2026-06-01T01:31:00+00:00,30566.0,30563.75,30569.375,LONG,2026-06-01 01:33:00+00:00,30569.375,target,3.375,13.5,baseline_random
2026-05-28T10:41:00+00:00,30273.0,30275.25,30269.625,SHORT,2026-05-28 10:42:00+00:00,30275.25,stop,-2.25,-9.0,baseline_random
2026-06-02T06:30:00+00:00,30558.75,30561.0,30555.375,SHORT,2026-06-02 06:32:00+00:00,30561.0,stop,-2.25,-9.0,baseline_random
2026-06-04T07:18:00+00:00,30243.0,30245.25,30239.625,SHORT,2026-06-04 07:20:00+00:00,30239.625,target,3.375,13.5,baseline_random
2026-06-01T04:14:00+00:00,30483.25,30485.5,30479.875,SHORT,2026-06-01 04:17:00+00:00,30485.5,stop,-2.25,-9.0,baseline_random
2026-05-28T14:15:00+00:00,30289.0,30291.25,30285.625,SHORT,2026-05-28 14:16:00+00:00,30285.625,target,3.375,13.5,baseline_random
2026-06-01T10:36:00+00:00,30549.75,30547.5,30553.125,LONG,2026-06-01 10:37:00+00:00,30547.5,stop,-2.25,-9.0,baseline_random
2026-06-02T08:53:00+00:00,30580.5,30582.75,30577.125,SHORT,2026-06-02 08:54:00+00:00,30577.125,target,3.375,13.5,baseline_random
2026-06-01T06:56:00+00:00,30471.0,30468.75,30474.375,LONG,2026-06-01 07:00:00+00:00,30468.75,stop,-2.25,-9.0,baseline_random
2026-06-04T12:01:00+00:00,30479.0,30476.75,30482.375,LONG,2026-06-04 12:02:00+00:00,30482.375,target,3.375,13.5,baseline_random
2026-06-04T14:48:00+00:00,30534.5,30536.75,30531.125,SHORT,2026-06-04 14:49:00+00:00,30536.75,stop,-2.25,-9.0,baseline_random
2026-06-04T03:34:00+00:00,30385.25,30383.0,30388.625,LONG,2026-06-04 03:36:00+00:00,30383.0,stop,-2.25,-9.0,baseline_random
2026-05-28T12:18:00+00:00,30305.25,30307.5,30301.875,SHORT,2026-05-28 12:19:00+00:00,30307.5,stop,-2.25,-9.0,baseline_random
2026-05-28T13:27:00+00:00,30320.5,30318.25,30323.875,LONG,2026-05-28 13:28:00+00:00,30318.25,stop,-2.25,-9.0,baseline_random
2026-05-28T08:35:00+00:00,30015.0,30017.25,30011.625,SHORT,2026-05-28 08:36:00+00:00,30017.25,stop,-2.25,-9.0,baseline_random
